Region,Market,Chart,Name,Unit,Source,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Worldwide,Luxury Apparel,Revenue Comparison,Gabon,million USD (US$),Statista Market Insights,6,6,5,5,7,8,8,9,9,10,10,10,11
Worldwide,Luxury Apparel,Revenue Comparison,Gambia,million USD (US$),Statista Market Insights,1,1,1,1,1,1,1,1,1,1,1,1,1
Worldwide,Luxury Apparel,Revenue Comparison,Georgia,million USD (US$),Statista Market Insights,14,15,12,12,14,15,15,15,16,16,17,17,18
Worldwide,Luxury Apparel,Revenue Comparison,Germany,million USD (US$),Statista Market Insights,"5,263","5,252","4,924","4,950","4,826","5,036","5,149","5,116","5,169","5,216","5,259","5,298","5,332"
Worldwide,Luxury Apparel,Revenue Comparison,Ghana,million USD (US$),Statista Market Insights,25,24,16,22,22,24,25,26,27,28,29,29,30
Worldwide,Luxury Apparel,Revenue Comparison,Greece,million USD (US$),Statista Market Insights,242,248,218,243,220,232,236,237,239,241,242,244,245
Worldwide,Luxury Apparel,Revenue Comparison,Guatemala,million USD (US$),Statista Market Insights,23,24,18,23,24,26,27,27,28,29,30,31,32
Worldwide,Luxury Apparel,Revenue Comparison,Guinea,million USD (US$),Statista Market Insights,4,4,3,2,4,4,4,4,4,4,4,4,4
Worldwide,Luxury Apparel,Revenue Comparison,Guyana,million USD (US$),Statista Market Insights,6,6,4,3,6,7,7,8,8,9,9,10,10
Worldwide,Luxury Apparel,Revenue Comparison,Haiti,million USD (US$),Statista Market Insights,6,5,3,5,4,5,5,5,5,5,5,5,5
Worldwide,Luxury Apparel,Revenue Comparison,Honduras,million USD (US$),Statista Market Insights,8,9,6,7,9,9,10,10,11,11,11,12,12
Worldwide,Luxury Apparel,Revenue Comparison,Hungary,million USD (US$),Statista Market Insights,147,149,125,135,117,121,125,124,124,125,125,125,126
Worldwide,Luxury Apparel,Revenue Comparison,Iceland,million USD (US$),Statista Market Insights,64,64,63,71,69,75,76,77,79,81,84,86,88
Worldwide,Luxury Apparel,Revenue Comparison,India,million USD (US$),Statista Market Insights,"1,267","1,432",971,916,"1,545","1,706","1,739","1,732","1,837","1,941","2,044","2,146","2,248"
Worldwide,Luxury Apparel,Revenue Comparison,Indonesia,million USD (US$),Statista Market Insights,488,559,443,433,649,702,703,727,769,810,850,891,930
Worldwide,Luxury Apparel,Revenue Comparison,Iran,million USD (US$),Statista Market Insights,189,171,173,206,295,325,330,274,287,298,307,314,319
Worldwide,Luxury Apparel,Revenue Comparison,Iraq,million USD (US$),Statista Market Insights,64,70,56,55,58,60,62,60,60,60,60,61,61
Worldwide,Luxury Apparel,Revenue Comparison,Ireland,million USD (US$),Statista Market Insights,465,490,398,462,504,526,535,537,552,566,581,595,609
Worldwide,Luxury Apparel,Revenue Comparison,Israel,million USD (US$),Statista Market Insights,347,376,293,326,451,463,469,435,444,450,456,460,464
Worldwide,Luxury Apparel,Revenue Comparison,Italy,million USD (US$),Statista Market Insights,"4,430","4,319","3,581","3,961","3,812","4,051","4,071","4,016","4,060","4,101","4,137","4,169","4,199"
Worldwide,Luxury Apparel,Revenue Comparison,Ivory Coast,million USD (US$),Statista Market Insights,14,15,15,14,20,22,23,18,19,19,19,19,19
Worldwide,Luxury Apparel,Revenue Comparison,Jamaica,million USD (US$),Statista Market Insights,10,11,7,6,10,11,12,12,12,13,14,14,15
Worldwide,Luxury Apparel,Revenue Comparison,Japan,million USD (US$),Statista Market Insights,"6,246","6,812","6,746","6,690","6,635","6,997","8,101","7,808","8,073","8,311","8,525","8,718","8,891"
Worldwide,Luxury Apparel,Revenue Comparison,Jordan,million USD (US$),Statista Market Insights,14,15,12,10,17,18,18,19,21,22,23,24,25
Worldwide,Luxury Apparel,Revenue Comparison,Kazakhstan,million USD (US$),Statista Market Insights,58,60,44,60,63,68,69,69,71,73,75,77,78
Worldwide,Luxury Apparel,Revenue Comparison,Kenya,million USD (US$),Statista Market Insights,84,93,62,71,94,107,114,117,124,132,138,144,149
Worldwide,Luxury Apparel,Revenue Comparison,Kuwait,million USD (US$),Statista Market Insights,116,126,86,124,141,150,153,142,145,147,148,150,151
Worldwide,Luxury Apparel,Revenue Comparison,Kyrgyzstan,million USD (US$),Statista Market Insights,3,3,2,3,3,3,3,3,3,3,3,3,3
Worldwide,Luxury Apparel,Revenue Comparison,Laos,million USD (US$),Statista Market Insights,15,16,16,16,18,21,22,23,24,25,26,27,28
Worldwide,Luxury Apparel,Revenue Comparison,Latvia,million USD (US$),Statista Market Insights,19,20,20,22,20,20,21,21,21,21,21,21,21
Worldwide,Luxury Apparel,Revenue Comparison,Lebanon,million USD (US$),Statista Market Insights,12,12,9,9,12,12,13,12,12,12,12,12,12
Worldwide,Luxury Apparel,Revenue Comparison,Lesotho,million USD (US$),Statista Market Insights,0,0,0,0,0,0,0,0,0,0,0,0,0
Worldwide,Luxury Apparel,Revenue Comparison,Lithuania,million USD (US$),Statista Market Insights,30,31,30,31,33,34,35,35,36,37,38,38,39
Worldwide,Luxury Apparel,Revenue Comparison,Luxembourg,million USD (US$),Statista Market Insights,55,56,50,53,58,61,62,58,59,59,60,60,60
Worldwide,Luxury Apparel,Revenue Comparison,Madagascar,million USD (US$),Statista Market Insights,39,41,32,36,43,48,51,53,56,59,61,64,66
Worldwide,Luxury Apparel,Revenue Comparison,Malawi,million USD (US$),Statista Market Insights,30,32,26,26,28,29,31,30,30,31,31,32,32
Worldwide,Luxury Apparel,Revenue Comparison,Malaysia,million USD (US$),Statista Market Insights,415,450,371,420,529,559,551,525,534,541,547,552,556
Worldwide,Luxury Apparel,Revenue Comparison,Malta,million USD (US$),Statista Market Insights,16,16,15,19,18,20,20,21,22,22,23,23,24
Worldwide,Luxury Apparel,Revenue Comparison,Mauritius,million USD (US$),Statista Market Insights,4,5,4,4,4,5,5,5,6,6,6,6,7
Worldwide,Luxury Apparel,Revenue Comparison,Mexico,million USD (US$),Statista Market Insights,487,530,323,472,521,551,575,586,612,636,657,676,693
Worldwide,Luxury Apparel,Revenue Comparison,Moldova,million USD (US$),Statista Market Insights,6,6,6,6,6,6,6,7,7,7,7,7,7
Worldwide,Luxury Apparel,Revenue Comparison,Mongolia,million USD (US$),Statista Market Insights,4,4,4,4,4,5,5,5,5,5,5,5,5
Worldwide,Luxury Apparel,Revenue Comparison,Montenegro,million USD (US$),Statista Market Insights,4,4,4,5,5,5,5,5,6,6,6,6,6
Worldwide,Luxury Apparel,Revenue Comparison,Morocco,million USD (US$),Statista Market Insights,51,54,37,56,52,60,63,64,67,70,73,75,77
Worldwide,Luxury Apparel,Revenue Comparison,Mozambique,million USD (US$),Statista Market Insights,41,44,40,36,45,47,51,51,53,55,57,58,59
Worldwide,Luxury Apparel,Revenue Comparison,Myanmar,million USD (US$),Statista Market Insights,87,94,74,70,109,113,119,124,132,139,145,151,156
Worldwide,Luxury Apparel,Revenue Comparison,Namibia,million USD (US$),Statista Market Insights,4,4,3,3,4,4,4,4,5,5,5,5,5
Worldwide,Luxury Apparel,Revenue Comparison,Nepal,million USD (US$),Statista Market Insights,13,14,11,14,15,16,16,15,15,16,16,16,16
Worldwide,Luxury Apparel,Revenue Comparison,Netherlands,million USD (US$),Statista Market Insights,"1,550","1,610","1,576","1,691","1,700","1,796","1,825","1,772","1,789","1,802","1,812","1,820","1,827"
Worldwide,Luxury Apparel,Revenue Comparison,New Zealand,million USD (US$),Statista Market Insights,366,397,374,473,453,508,522,495,504,512,518,523,527
Worldwide,Luxury Apparel,Revenue Comparison,Nicaragua,million USD (US$),Statista Market Insights,5,5,4,4,5,6,6,6,6,7,7,7,7
Worldwide,Luxury Apparel,Revenue Comparison,Niger,million USD (US$),Statista Market Insights,4,4,4,3,5,5,5,4,4,4,5,5,5
Worldwide,Luxury Apparel,Revenue Comparison,Nigeria,million USD (US$),Statista Market Insights,112,120,77,70,103,111,114,113,119,123,128,132,135
Worldwide,Luxury Apparel,Revenue Comparison,North Macedonia,million USD (US$),Statista Market Insights,6,6,6,7,7,7,8,8,8,8,8,9,9
Worldwide,Luxury Apparel,Revenue Comparison,Norway,million USD (US$),Statista Market Insights,636,621,559,646,565,589,599,588,588,588,588,588,588
Worldwide,Luxury Apparel,Revenue Comparison,Oman,million USD (US$),Statista Market Insights,62,69,55,69,81,82,85,81,82,83,84,85,86
Worldwide,Luxury Apparel,Revenue Comparison,Pakistan,million USD (US$),Statista Market Insights,262,229,134,163,190,211,214,213,223,233,242,250,257
Worldwide,Luxury Apparel,Revenue Comparison,Panama,million USD (US$),Statista Market Insights,47,49,34,46,56,63,67,70,75,79,83,87,90
Worldwide,Luxury Apparel,Revenue Comparison,Papua New Guinea,million USD (US$),Statista Market Insights,5,5,5,5,5,6,6,6,6,6,6,6,7
Worldwide,Luxury Apparel,Revenue Comparison,Paraguay,million USD (US$),Statista Market Insights,19,19,12,11,18,20,21,21,23,24,25,26,27
Worldwide,Luxury Apparel,Revenue Comparison,Peru,million USD (US$),Statista Market Insights,192,207,132,129,189,200,213,213,225,236,245,254,262
Worldwide,Luxury Apparel,Revenue Comparison,Philippines,million USD (US$),Statista Market Insights,302,356,261,287,441,470,470,438,448,457,463,469,473
Worldwide,Luxury Apparel,Revenue Comparison,Poland,million USD (US$),Statista Market Insights,621,638,616,681,597,623,640,629,629,628,628,627,627
Worldwide,Luxury Apparel,Revenue Comparison,Portugal,million USD (US$),Statista Market Insights,445,462,367,474,452,479,488,494,505,515,524,532,539
